cnpj;mes_referencia;data_exportacao
35165649000147;2026-07-12;2026-08-06
40255314000150;2026-07-12;2026-08-06
37465857000197;2026-07-12;2026-08-06
18089884000168;2026-07-12;2026-08-06
26780968000171;2026-07-12;2026-08-06
05145683000199;2026-07-12;2026-08-06
38104335000122;2026-07-12;2026-08-06
08961787000160;2026-07-12;2026-08-06
34954912000114;2026-07-12;2026-08-06
31094324000160;2026-07-12;2026-08-06
14492181000125;2026-07-12;2026-08-06
38202110000109;2026-07-12;2026-08-06
38153688000112;2026-07-12;2026-08-06
22101738000188;2026-07-12;2026-08-06
32531304000171;2026-07-12;2026-08-06
20852991000148;2026-07-12;2026-08-06
38130172000152;2026-07-12;2026-08-06
41236331000102;2026-07-12;2026-08-06
16935205000107;2026-07-12;2026-08-06
23096269000119;2026-07-12;2026-08-06
42584754000186;2026-07-12;2026-08-06
36659063000100;2026-07-12;2026-08-06
35424106000105;2026-07-12;2026-08-06
23828090000109;2026-07-12;2026-08-06
42930352000196;2026-07-12;2026-08-06
41145989000109;2026-07-12;2026-08-06
29229539000107;2026-07-12;2026-08-06
40100310000100;2026-07-12;2026-08-06
49288098000113;2026-07-12;2026-08-06
33513135000100;2026-07-12;2026-08-06
15489348000161;2026-07-12;2026-08-06
29497378000124;2026-07-12;2026-08-06
16804240000189;2026-07-12;2026-08-06
19974699000119;2026-07-12;2026-08-06
56061643000108;2026-07-12;2026-08-06
16881766000162;2026-07-12;2026-08-06
30517979000130;2026-07-12;2026-08-06
14807158000182;2026-07-12;2026-08-06
29233371000103;2026-07-12;2026-08-06
38081120000133;2026-07-12;2026-08-06
35095100000123;2026-07-12;2026-08-06
41041910000108;2026-07-12;2026-08-06
46740714000137;2026-07-12;2026-08-06
38265247000102;2026-07-12;2026-08-06
26625294000130;2026-07-12;2026-08-06
38246949000149;2026-07-12;2026-08-06
51137996000112;2026-07-12;2026-08-06
40100719000119;2026-07-12;2026-08-06
11747215000197;2026-07-12;2026-08-06
54218535000162;2026-07-12;2026-08-06
37610303000136;2026-07-12;2026-08-06
48555523000120;2026-07-12;2026-08-06
26724624000145;2026-07-12;2026-08-06
39380201000105;2026-07-12;2026-08-06
34960944000122;2026-07-12;2026-08-06
46540059000173;2026-07-12;2026-08-06
34819202000181;2026-07-12;2026-08-06
37169887000156;2026-07-12;2026-08-06
16549480000184;2026-07-12;2026-08-06
23812710000111;2026-07-12;2026-08-06
54433618000174;2026-07-12;2026-08-06
10924241000180;2026-07-12;2026-08-06
08748537000146;2026-07-12;2026-08-06
08752145000150;2026-07-12;2026-08-06
07911952000106;2026-07-12;2026-08-06
07708598000117;2026-07-12;2026-08-06
08645231000164;2026-07-12;2026-08-06
09521966000149;2026-07-12;2026-08-06
06046566000130;2026-07-12;2026-08-06
07868324000195;2026-07-12;2026-08-06
09592812000148;2026-07-12;2026-08-06
18711544000127;2026-07-12;2026-08-06
14252009000102;2026-07-12;2026-08-06
16749299000111;2026-07-12;2026-08-06
18821675000167;2026-07-12;2026-08-06
35054207000123;2026-07-12;2026-08-06
42932584000183;2026-07-12;2026-08-06
16758181000150;2026-07-12;2026-08-06
41587119000190;2026-07-12;2026-08-06
37283196000189;2026-07-12;2026-08-06
36098662000193;2026-07-12;2026-08-06
40146506000128;2026-07-12;2026-08-06
27325569000183;2026-07-12;2026-08-06
04671431000130;2026-07-12;2026-08-06
11423778000120;2026-07-12;2026-08-06
44495526000165;2026-07-12;2026-08-06
48949923000110;2026-07-12;2026-08-06
31048052000161;2026-07-12;2026-08-06
23832533000135;2026-07-12;2026-08-06
26889124000163;2026-07-12;2026-08-06
26461792000195;2026-07-12;2026-08-06
45105266000137;2026-07-12;2026-08-06
17230492000104;2026-07-12;2026-08-06
20855875000182;2026-07-12;2026-08-06
14096190000105;2026-07-12;2026-08-06
15427207000114;2026-07-12;2026-08-06
34052649000178;2026-07-12;2026-08-06
33814571000119;2026-07-12;2026-08-06
24934106000120;2026-07-12;2026-08-06
42882386000152;2026-07-12;2026-08-06
35996604000114;2026-07-12;2026-08-06
36923006000188;2026-07-12;2026-08-06
38044974000140;2026-07-12;2026-08-06
39775189000120;2026-07-12;2026-08-06
22121209000146;2026-07-12;2026-08-06
34399713000191;2026-07-12;2026-08-06
22150358000133;2026-07-12;2026-08-06
15237668000124;2026-07-12;2026-08-06
32387459000186;2026-07-12;2026-08-06
20834866000105;2026-07-12;2026-08-06
16097303000104;2026-07-12;2026-08-06
37542475000110;2026-07-12;2026-08-06
36683895000153;2026-07-12;2026-08-06
37869837000181;2026-07-12;2026-08-06
30995871000153;2026-07-12;2026-08-06
34459078000190;2026-07-12;2026-08-06
15470514000188;2026-07-12;2026-08-06
32891978000187;2026-07-12;2026-08-06
34250950000196;2026-07-12;2026-08-06
22233581000144;2026-07-12;2026-08-06
39800058000155;2026-07-12;2026-08-06
42448475000195;2026-07-12;2026-08-06
32270554000103;2026-07-12;2026-08-06
37727974000181;2026-07-12;2026-08-06
34639121000108;2026-07-12;2026-08-06
27288925000136;2026-07-12;2026-08-06
37571048000160;2026-07-12;2026-08-06
39315225000172;2026-07-12;2026-08-06
33903387000145;2026-07-12;2026-08-06
30809195000186;2026-07-12;2026-08-06
19360368000199;2026-07-12;2026-08-06
44654880000195;2026-07-12;2026-08-06
48257949000106;2026-07-12;2026-08-06
08918868000187;2026-07-12;2026-08-06
46710069000100;2026-07-12;2026-08-06
09361024000140;2026-07-12;2026-08-06
08817392000198;2026-07-12;2026-08-06
04404385000103;2026-07-12;2026-08-06
07791963000108;2026-07-12;2026-08-06
10968310000158;2026-07-12;2026-08-06
30987435000132;2026-07-12;2026-08-06
42244082000160;2026-07-12;2026-08-06
40744837000160;2026-07-12;2026-08-06
37821794000164;2026-07-12;2026-08-06
42686399000156;2026-07-12;2026-08-06
34414401000100;2026-07-12;2026-08-06
37599352000115;2026-07-12;2026-08-06
29573105000111;2026-07-12;2026-08-06
14156670000106;2026-07-12;2026-08-06
25142618000117;2026-07-12;2026-08-06
39153793000114;2026-07-12;2026-08-06
34861014000111;2026-07-12;2026-08-06
30515218000140;2026-07-12;2026-08-06
42433068000104;2026-07-12;2026-08-06
34999061000126;2026-07-12;2026-08-06
29138376000149;2026-07-12;2026-08-06
18274255000108;2026-07-12;2026-08-06
14826241000107;2026-07-12;2026-08-06
29138268000176;2026-07-12;2026-08-06
37282446000166;2026-07-12;2026-08-06
27541049000108;2026-07-12;2026-08-06
41459558000117;2026-07-12;2026-08-06
22498176000158;2026-07-12;2026-08-06
34244701000198;2026-07-12;2026-08-06
35864736000192;2026-07-12;2026-08-06
22938280000116;2026-07-12;2026-08-06
10844817000108;2026-07-12;2026-08-06
59583500000146;2026-07-12;2026-08-06
11381243000133;2026-07-12;2026-08-06
48126124000144;2026-07-12;2026-08-06
51857391000104;2026-07-12;2026-08-06
48314689000155;2026-07-12;2026-08-06
08859463000115;2026-07-12;2026-08-06
26656452000110;2026-07-12;2026-08-06
31619613000135;2026-07-12;2026-08-06
24996903000132;2026-07-12;2026-08-06
34213334000165;2026-07-12;2026-08-06
40155507000139;2026-07-12;2026-08-06
11210607000112;2026-07-12;2026-08-06
07008044000107;2026-07-12;2026-08-06
14255325000120;2026-07-12;2026-08-06
55566185000198;2026-07-12;2026-08-06
55451811000109;2026-07-12;2026-08-06
12021551000110;2026-07-12;2026-08-06
08946047000154;2026-07-12;2026-08-06
08726128000149;2026-07-12;2026-08-06
08886419000102;2026-07-12;2026-08-06
07348215000147;2026-07-12;2026-08-06
08747437000103;2026-07-12;2026-08-06
41111322000195;2026-07-12;2026-08-06
14215318000102;2026-07-12;2026-08-06
29694495000188;2026-07-12;2026-08-06
27728292000130;2026-07-12;2026-08-06
23596946000168;2026-07-12;2026-08-06
41769240000132;2026-07-12;2026-08-06
19453651000165;2026-07-12;2026-08-06
38066659000113;2026-07-12;2026-08-06
44218268000170;2026-07-12;2026-08-06
40978988000182;2026-07-12;2026-08-06
34861233000109;2026-07-12;2026-08-06
46086601000160;2026-07-12;2026-08-06
33928884000106;2026-07-12;2026-08-06
42418696000110;2026-07-12;2026-08-06
39700936000160;2026-07-12;2026-08-06
42546187000173;2026-07-12;2026-08-06
15435110000153;2026-07-12;2026-08-06
49732600000133;2026-07-12;2026-08-06
47958479000137;2026-07-12;2026-08-06
48380288000101;2026-07-12;2026-08-06
52073570000105;2026-07-12;2026-08-06
49263443000164;2026-07-12;2026-08-06
09163788000121;2026-07-12;2026-08-06
62262043000100;2026-07-12;2026-08-06
12916911000142;2026-07-12;2026-08-06
38460552000155;2026-07-12;2026-08-06
10622079000146;2026-07-12;2026-08-06
07984418000120;2026-07-12;2026-08-06
08752736000128;2026-07-12;2026-08-06
50281122000171;2026-07-12;2026-08-06
45066166000149;2026-07-12;2026-08-06
45783014000167;2026-07-12;2026-08-06
50630469000182;2026-07-12;2026-08-06
46932757000114;2026-07-12;2026-08-06
47160515000112;2026-07-12;2026-08-06
47109425000105;2026-07-12;2026-08-06
48202630000175;2026-07-12;2026-08-06
07576969000154;2026-07-12;2026-08-06
48546222000130;2026-07-12;2026-08-06
21782459000164;2026-07-12;2026-08-06
41365871000196;2026-07-12;2026-08-06
17251563000155;2026-07-12;2026-08-06
41084012000129;2026-07-12;2026-08-06
22614340000145;2026-07-12;2026-08-06
34457967000119;2026-07-12;2026-08-06
38287179000182;2026-07-12;2026-08-06
35456659000131;2026-07-12;2026-08-06
40152164000159;2026-07-12;2026-08-06
